Time,Gap value,New gap value,Tolling charge gap value,Rho,System objective value,Iteration
0,1.79769e+308,1.79769e+308,100,1.48317e+06,0
289.277,113.409,113.309,0.0606858,100,1.36296e+06,1
334.423,0.000343892,-0.0996561,0.00110701,1000,1.36493e+06,2
