Time,Gap value,New gap value,Tolling charge gap value,Rho,System objective value,Iteration
0,1.79769e+308,1.79769e+308,100,1.48317e+06,0
366.382,113.476,113.475,0.0994005,100,1.36272e+06,1
414.225,0.0109869,0.00998689,0.00319365,1000,1.36459e+06,2
459.131,2.45084e-08,-0.000999975,4.30579e-07,10000,1.36478e+06,3
