Time,Gap value,New gap value,Tolling charge gap value,Rho,System objective value,Iteration
0,1.79769e+308,1.79769e+308,100,1.44529e+06,0
25.8126,5.21158,5.21157,0.179596,100,1.41801e+06,1
33.8442,0.000199238,0.000189238,0.000340357,1000,1.41806e+06,2
42.4598,1.61236e-08,-9.98388e-06,3.07908e-07,10000,1.41809e+06,3
