Time,Gap value,rho,System objective value,iteration
23.0791,2.32523,100,1.05058e+06,1
46.0744,0.0437593,1000,1.05109e+06,2
69.0934,0.000440842,10000,1.05117e+06,3
92.1312,4.40457e-06,100000,1.05117e+06,4
