Time,Gap value,rho,System objective value,iteration
2012.88,8.24408,100,1.3612e+06,1
2267.38,2.20847,200,1.3619e+06,2
2527.62,0.566364,400,1.3623e+06,3
2820.28,0.147949,800,1.36249e+06,4
2941.08,0.0391045,1600,1.3626e+06,5
3102.53,0.0100016,3200,1.36267e+06,6
3326.33,0.00215333,6400,1.3627e+06,7
3538.4,0.00020095,12800,1.36272e+06,8
