Time,Gap value,rho,System objective value,iteration
562.511,0.386981,100,1.41794e+06,1
640.862,0.0176325,1000,1.41804e+06,2
695.755,0.000263097,10000,1.41807e+06,3
727.985,2.94112e-06,100000,1.41808e+06,4
