Time,Gap value,Tolling charge gap value,Rho,System objective value,Iteration
0,1.79769e+308,1.79769e+308,100,1.44529e+06,0
28.5474,5.10343,0.0434012,100,1.41816e+06,1
45.2534,0.0012171,0.00775294,1000,1.41859e+06,2
61.714,3.77308e-07,7.01533e-06,10000,1.41861e+06,3
