Time,Gap value,rho,System objective value,iteration
280.672,11.0883,100,1.36331e+06,1
449.505,0.112984,1000,1.36513e+06,2
587.234,0.00115465,10000,1.36533e+06,3
719.304,8.03452e-06,100000,1.36535e+06,4
