Time,Gap value,Tolling charge gap value,Rho,System objective value,Iteration
0,1.79769e+308,1.79769e+308,100,1.66881e+06,0
46.2676,101.764,0,100,1.39783e+06,1
91.5174,0.0116365,0,1000,1.39967e+06,2
137.028,1.09544e-06,0,10000,1.39986e+06,3
