Time,Gap value,New gap value,Tolling charge gap value,Rho,System objective value,Iteration
0,1.79769e+308,1.79769e+308,10,1.44529e+06,0
1022.56,193.422,193.422,2.27443,10,1.39811e+06,1
1030.99,0.00544934,0.00543934,0.00468458,100,1.39833e+06,2
1039.13,7.84566e-05,6.84566e-05,0.000436035,1000,1.39835e+06,3
