Time,Gap value,rho,System objective value,iteration
145.977,0.027647,100,1.41778e+06,1
354.201,0.00125279,1000,1.41772e+06,2
381.74,0.000407832,10000,1.41772e+06,3
404.732,2.1935e-06,100000,1.41773e+06,4
