Time,Gap value,New gap value,Tolling charge gap value,Rho,System objective value,Iteration
0,1.79769e+308,1.79769e+308,100,1.48317e+06,0
253.717,117.923,117.923,0.0818271,100,1.36287e+06,1
304.053,1.5524e-06,-8.4476e-06,5.29217e-06,10000,1.36494e+06,2
