Time,Gap value,New gap value,Tolling charge gap value,Rho,System objective value,Iteration
0,1.79769e+308,1.79769e+308,100,1.44529e+06,0
30.2454,4.8455,4.84549,0.0582239,100,1.4178e+06,1
42.637,0.000507864,0.000497864,0.00406343,1000,1.41828e+06,2
54.9642,1.98445e-07,-9.80155e-06,9.74232e-06,10000,1.4183e+06,3
