Time,Gap value,Tolling charge gap value,Rho,System objective value,Iteration
0,1.79769e+308,1.79769e+308,100,2.96765e+06,0
110.637,56.8007,0.400602,100,2.81938e+06,1
124.182,0.00427521,0.012486,1000,2.82065e+06,2
139.461,1.4258e-06,9.91848e-06,10000,2.82076e+06,3
