Time,Gap value,Tolling charge gap value,Rho,System objective value,Iteration
0,1.79769e+308,1.79769e+308,100,1.02767e+06,0
49.7699,328.493,0,100,724773,1
99.2318,0.0498424,0,1000,728159,2
148.988,4.74408e-06,0,10000,728564,3
