Time,Gap value,New gap value,Tolling charge gap value,Rho,System objective value,Iteration
0,1.79769e+308,1.79769e+308,100,1.48317e+06,0
240.809,114.327,114.327,0.0338449,100,1.3632e+06,1
339.323,0.0134378,0.0134278,0.000207688,1000,1.36516e+06,2
388.278,1.34868e-06,-8.65132e-06,5.25662e-06,10000,1.36537e+06,3
