Time,Gap value,Tolling charge gap value,Rho,System objective value,Iteration
0,1.79769e+308,1.79769e+308,100,1.15075e+06,0
23.6576,5.40621,0,100,1.05058e+06,1
47.3395,0.00190613,0,1000,1.05109e+06,2
70.6134,1.16173e-07,0,10000,1.05117e+06,3
