Time,Gap value,Tolling charge gap value,Rho,System objective value,Iteration
0,3073.73,1.79769e+308,1,1.44529e+06,0
3502.34,48430,4.13751,1,1.3956e+06,1
3597.75,87.6215,0.0681667,10,1.39601e+06,2
3613.07,0.261415,0.00204599,100,1.39621e+06,3
3622.5,1.93671e-05,6.44274e-05,1000,1.3963e+06,4
