Time,Gap value,rho,System objective value,iteration
2004.58,8.24408,100,1.3612e+06,1
2271.69,0.384943,500,1.36251e+06,2
2360.55,0.0165243,2500,1.36282e+06,3
2531.11,0.000603831,12500,1.36288e+06,4
2739.7,9.41169e-05,62500,1.3629e+06,5
