Time,Gap value,New gap value,Tolling charge gap value,Rho,System objective value,Iteration
0,1.79769e+308,1.79769e+308,100,1.44529e+06,0
41.8738,4.73141,4.7314,0.0544149,100,1.41792e+06,1
58.1648,0.000924462,0.000914462,0.00571095,1000,1.41835e+06,2
75.3083,2.69813e-07,-9.73019e-06,4.71435e-06,10000,1.4184e+06,3
