Time,Gap value,rho,System objective value,iteration
99.3128,1.25575,100,1.41799e+06,1
132.736,0.0309826,1000,1.41823e+06,2
171.588,0.000349433,10000,1.41829e+06,3
196.392,8.52284e-05,100000,1.4183e+06,4
