Time,Gap value,rho,System objective value,iteration
330.473,8.89381,100,1.363e+06,1
623.865,0.0999814,1000,1.3646e+06,2
766.62,0.000776972,10000,1.36479e+06,3
935.72,0.000919765,100000,1.36481e+06,4
