Time,Gap value,rho,System objective value,iteration
92.7277,5.84787,100,2.36132e+06,1
184.64,0.0608708,1000,2.36238e+06,2
276.714,0.0105134,10000,2.36249e+06,3
368.546,0.0209396,100000,2.3625e+06,4
460.862,0.00998533,1e+06,2.3625e+06,5
