Time,Gap value,Tolling charge gap value,Rho,System objective value,Iteration
0,1.79769e+308,1.79769e+308,100,2.01355e+07,0
1432.88,4614.47,0.617635,100,1.83366e+07,1
1715.57,0.588014,0.0333274,1000,1.83495e+07,2
1925.48,0.00012492,0.000176522,10000,1.83508e+07,3
2131.21,1.68271e-09,8.12343e-07,100000,1.8351e+07,4
