Time,Gap value,rho,System objective value,iteration
177.995,1.82288,100,2.82521e+06,1
266.542,0.0266155,1000,2.82514e+06,2
286.273,0.000759479,10000,2.82518e+06,3
319.127,1.94688e-05,100000,2.82519e+06,4
