Time,Gap value,New gap value,Tolling charge gap value,Rho,System objective value,Iteration
0,1.79769e+308,1.79769e+308,1,1.48317e+06,0
16938.3,2.40437e+07,2.40437e+07,5.77491,1,1.33804e+06,1
17802.6,163895,163895,0.435213,10,1.35134e+06,2
17907.2,36.3915,36.3915,0.00587626,100,1.35941e+06,3
17979,0.00489701,0.00488701,0.000205903,1000,1.36054e+06,4
18031.1,5.22763e-06,-4.77237e-06,0,10000,1.36067e+06,5
