Time,Gap value,New gap value,Tolling charge gap value,Rho,System objective value,Iteration
0,1.79769e+308,1.79769e+308,100,1.44529e+06,0
61.8805,2.5867,2.58669,0.0885934,100,1.4168e+06,1
71.9912,0.00022045,0.00021045,0.00201991,1000,1.41712e+06,2
81.8518,1.486e-07,-9.8514e-06,4.9844e-06,10000,1.41715e+06,3
