Time,Gap value,New gap value,Tolling charge gap value,Rho,System objective value,Iteration
0,1.79769e+308,1.79769e+308,100,1.48317e+06,0
387.619,77.3839,77.3839,0.0465574,100,1.36253e+06,1
455.207,0.0103064,0.0102964,0.00222852,1000,1.36418e+06,2
589.58,1.41183e-06,-8.58817e-06,6.74685e-06,10000,1.36436e+06,3
