Time,Gap value,rho,System objective value,iteration
282.3,449.901,10,1.35209e+06,1
585.229,8.65217,100,1.36066e+06,2
769.307,0.0945483,1000,1.36222e+06,3
835.269,0.000610104,10000,1.36239e+06,4
890.078,0.000393675,100000,1.36241e+06,5
