Time,Gap value,rho,System objective value,iteration
2031.07,8.24408,100,1.3612e+06,1
2209.02,0.100408,1000,1.36274e+06,2
2296.59,0.0011033,10000,1.36292e+06,3
2392.55,1.34571e-05,100000,1.36294e+06,4
