Time,Gap value,rho,System objective value,iteration
46.3116,10.0879,100,1.39783e+06,1
91.1022,0.107972,1000,1.39967e+06,2
135.8,0.00114663,10000,1.39986e+06,3
180.849,2.76689e-05,100000,1.39988e+06,4
