Time,Gap value,New gap value,Tolling charge gap value,Rho,System objective value,Iteration
0,1.79769e+308,1.79769e+308,100,1.48317e+06,0
254.333,117.923,117.923,0.0818271,100,1.36287e+06,1
336.347,0.203723,0.203713,0.00126178,500,1.3645e+06,2
384.561,0.000346609,0.000336609,0.000269177,2500,1.36486e+06,3
467.662,7.17619e-07,-9.28238e-06,1.27929e-06,12500,1.36494e+06,4
