Time,Gap value,Tolling charge gap value,Rho,System objective value,Iteration
0,1.79769e+308,1.79769e+308,100,1.09604e+06,0
241.4,0.0701553,0.0360343,100,923884,1
322.436,0.00622689,0.0047536,1000,925284,2
401.893,1.07848e-06,4.69168e-06,10000,925438,3
