Time,Gap value,rho,System objective value,iteration
349.417,8.89107,100,1.36301e+06,1
659.44,0.0987449,1000,1.36459e+06,2
749.165,0.001189,10000,1.36477e+06,3
862.16,1.52239e-05,100000,1.3648e+06,4
