Time,Gap value,rho,System objective value,iteration
0,3073.73,100,1.44529e+06,0
141.996,0.025166,100,1.41778e+06,1
183.118,0.00607776,1000,1.41772e+06,2
233.779,0.000207473,10000,1.41773e+06,3
255.319,1.0049e-06,100000,1.41774e+06,4
