Time,Gap value,New gap value,Tolling charge gap value,Rho,System objective value,Iteration
0,1.79769e+308,1.79769e+308,100,1.48317e+06,0
254.525,117.923,117.923,0.0818271,100,1.36287e+06,1
362.265,7.50193,7.50192,0.00374635,200,1.36382e+06,2
443.675,0.482157,0.482147,0.00235752,400,1.36435e+06,3
509.445,0.0310782,0.0310682,0.00150343,800,1.36462e+06,4
559.118,0.00197574,0.00196574,0.000956797,1600,1.36475e+06,5
608.641,0.000127738,0.000117738,0.000124793,3200,1.36482e+06,6
658.274,8.01954e-06,-1.98046e-06,1.55392e-05,6400,1.36486e+06,7
