Time,Gap value,New gap value,Tolling charge gap value,Rho,System objective value,Iteration
0,1.79769e+308,1.79769e+308,100,3.32444e+06,0
2417.64,865.719,865.719,0.388683,100,2.53338e+06,1
2670.71,0.120959,0.120949,0.000371961,1000,2.53883e+06,2
2768.05,1.30136e-05,3.01365e-06,1.96008e-05,10000,2.53946e+06,3
