Time,Gap value,rho,System objective value,iteration
582.929,17.1798,10,1.4029e+06,1
705.629,0.0853775,100,1.40305e+06,2
748.267,0.00735912,1000,1.40306e+06,3
778.451,4.60374e-05,10000,1.40307e+06,4
