Time,Gap value,rho,System objective value,iteration
144.267,0.025166,100,1.41778e+06,1
185.955,0.00607776,1000,1.41772e+06,2
237.319,0.000207473,10000,1.41773e+06,3
259.163,1.0049e-06,100000,1.41774e+06,4
