Time,Gap value,rho,System objective value,iteration
1611.6,3.17515,100,1.36278e+06,1
1999.21,0.0696752,1000,1.36326e+06,2
2097.91,0.00109358,10000,1.3634e+06,3
2221.48,0.000192783,100000,1.36342e+06,4
