Time,Gap value,Tolling charge gap value,Rho,System objective value,Iteration
0,1.79769e+308,1.79769e+308,100,777049,0
25.6156,3.61415,0,100,716410,1
50.9623,0.000584911,0,1000,716775,2
76.7849,2.36353e-08,0,10000,716819,3
