Time,Gap value,New gap value,Tolling charge gap value,Rho,System objective value,Iteration
0,1.79769e+308,1.79769e+308,100,1.44529e+06,0
41.4563,4.73141,4.7314,0.0544149,100,1.41792e+06,1
65.6942,0.236773,0.236763,0.0149429,200,1.41793e+06,2
85.1154,0.0108002,0.0107902,0.00901947,400,1.41791e+06,3
99.7042,0.000533174,0.000523174,0.00472884,800,1.41788e+06,4
114.067,0.000106037,9.60369e-05,0.000542037,1600,1.41788e+06,5
