Iteration,Time,Gap value,Rho,System obj value
1,14.43021,54.366,1,2188.68
2,14.51517,3.53741,10,2357.39
3,14.66423,0.0677144,100,2430.04
4,14.67278,0.000732239,1000,2442.42
5,14.69063,7.38373e-06,10000,2443.74
