Time,Gap value,rho,System objective value,iteration
0,3073.73,1,1.44529e+06,0
427.2,226.284,1,1.39578e+06,1
577.815,15.1871,10,1.39611e+06,2
731.116,0.0724483,100,1.39634e+06,3
769.788,0.00178967,1000,1.39635e+06,4
811.259,7.68949e-05,10000,1.39635e+06,5
