Time,Gap value,rho,System objective value,iteration
2674.74,40.033,100,1.83431e+07,1
4927.53,0.454261,1000,1.83486e+07,2
5650.36,0.00783378,10000,1.83493e+07,3
8503.78,0.000227429,100000,1.83494e+07,4
