Time,Gap value,Tolling charge gap value,Rho,System objective value,Iteration
0,1.79769e+308,1.79769e+308,100,2.43111e+06,0
92.4485,34.1964,0,100,2.36132e+06,1
184.215,0.00369309,0,1000,2.36238e+06,2
276.084,0.000108438,0,10000,2.36249e+06,3
367.895,0.00043429,0,100000,2.3625e+06,4
459.508,9.77198e-05,0,1e+06,2.3625e+06,5
