Time,Gap value,New gap value,Tolling charge gap value,Rho,System objective value,Iteration
0,1.79769e+308,1.79769e+308,100,1.48317e+06,0
566.535,21.47,21.47,1.09271,100,1.35436e+06,1
650.357,0.00277639,0.00276639,0.000564106,1000,1.35522e+06,2
701.788,3.75064e-07,-9.62494e-06,1.7479e-05,10000,1.35532e+06,3
