Time,Gap value,Tolling charge gap value,Rho,System objective value,Iteration
0,1.79769e+308,1.79769e+308,100,1.44529e+06,0
28.7771,5.1032,0.0433994,100,1.41816e+06,1
45.5166,0.00123012,0.00777024,1000,1.41859e+06,2
61.9668,5.12409e-07,8.14851e-06,10000,1.41861e+06,3
