Time,Gap value,New gap value,Tolling charge gap value,Rho,System objective value,Iteration
0,1.79769e+308,1.79769e+308,10,1.48317e+06,0
1397.97,153669,153669,1.52395,10,1.35051e+06,1
2262.37,71.432,71.432,0.051616,100,1.35852e+06,2
2335.01,0.00878262,0.00877262,0.00140351,1000,1.36023e+06,3
2385.89,9.60645e-07,-9.03936e-06,4.01538e-06,10000,1.36041e+06,4
