Time,Gap value,rho,System objective value,iteration
2594.01,28.2064,100,2.5372e+06,1
9264.79,0.389073,1000,2.54245e+06,2
13212.2,0.00113367,10000,2.54315e+06,3
15277,2.20905e-05,100000,2.54322e+06,4
