Time,Gap value,New gap value,Tolling charge gap value,Rho,System objective value,Iteration
0,1.79769e+308,1.79769e+308,100,1.44529e+06,0
41.4055,4.73141,4.7314,0.0544149,100,1.41792e+06,1
61.6099,0.0123418,0.0123318,0.00773858,500,1.41823e+06,2
77.5057,5.17884e-05,4.17884e-05,0.000303959,2500,1.41832e+06,3
