Time,Gap value,rho,System objective value,iteration
157.204,0.92015,100,1.41783e+06,1
225.655,0.0323996,1000,1.41809e+06,2
255.092,0.000536033,10000,1.41815e+06,3
276.651,6.44894e-06,100000,1.41816e+06,4
