Time,Gap value,New gap value,Tolling charge gap value,Rho,System objective value,Iteration
0,1.79769e+308,1.79769e+308,100,1.48317e+06,0
285.996,115.489,115.489,0.0611584,100,1.36296e+06,1
351.706,0.0139954,0.0138954,0.0011884,1000,1.36493e+06,2
508.384,1.30522e-06,-9.86948e-05,3.6654e-06,10000,1.36514e+06,3
